id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
5f4c7784,ASUS ExpertBook P3 PM3406CKA-LY0439X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717032.html,https://media.ldlc.com/r150/ld/products/00/06/30/30/LD0006303077.jpg,,True,ldlc,France,2025-12-29T00:47:44.855749,,,,,
4f579ee9,ASUS ExpertBook P3 PM3606CKA-MB0034X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00711284.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303.jpg,,True,ldlc,France,2025-12-29T00:47:44.856748,,,,,
4e6b72cb,ASUS ExpertBook P3 PM3606CKA-MB0035X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00711288.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303_0006291307.jpg,,True,ldlc,France,2025-12-29T00:47:44.857750,,,,,
49e11197,ASUS ExpertBook P3 PM3606CKA-MB0133X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00715387.html,https://media.ldlc.com/r150/ld/products/00/06/29/96/LD0006299673.jpg,,True,ldlc,France,2025-12-29T00:47:44.858750,,,,,
57c548f2,ASUS ExpertBook P3 PM3606CKA-MB0306X Copilot+ PC,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717034.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303_0006291307_0006303090.jpg,,True,ldlc,France,2025-12-29T00:47:44.860755,,,,,
d1b181a1,ASUS ExpertBook P5 Copilot+ PC P5405CSA-NZ0038X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00644143.html,https://media.ldlc.com/r150/ld/products/00/06/17/17/LD0006171796.jpg,,True,ldlc,France,2025-12-29T00:47:44.861752,,,,,
39c8f060,ASUS M1807HA-S8028X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00698777.html,https://media.ldlc.com/r150/ld/products/00/06/22/92/LD0006229235_0006268856.jpg,,True,ldlc,France,2025-12-29T00:47:44.862745,,,,,
45d17186,ASUS M1807HA-S8076X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00673961.html,https://media.ldlc.com/r150/ld/products/00/06/22/92/LD0006229235.jpg,,True,ldlc,France,2025-12-29T00:47:44.863753,,,,,
6c2f3a5b,ASUS M5406WA-PP068X OLED,,EUR,ASUS,https://www.ldlc.com/fiche/PB00686910.html,https://media.ldlc.com/r150/ld/products/00/06/25/00/LD0006250091.jpg,,True,ldlc,France,2025-12-29T00:47:44.865749,,,,,
bba1f1d0,ASUS P1504FA-BQ2443X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00702100.html,https://media.ldlc.com/r150/ld/products/00/06/07/11/LD0006071179_0006076683_0006197084_0006197179_0006273430.jpg,,True,ldlc,France,2025-12-29T00:47:44.866716,,,,,
